Plan,Data.Column1,Data.Column2,Data.Column3,Data.Column4,Data.Column5,Data.Column6,Data.Column7,Calories,Protein,Carbohydrates,Fats,Fiber
Elite-Non-Veg Plan-Dinner,Week 4,Tue,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,809,48,67,47,14
Elite-Non-Veg Plan-Dinner,Week 4,Wed,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,649,35,44,45,10
Elite-Non-Veg Plan-Dinner,Week 4,Thu,Pulled Chicken Caesar Salad,,Shirazi salad,Steamed Edamame,Crunchy Nut mix,718,51,25,45,7
Elite-Non-Veg Plan-Dinner,Week 4,Fri,Protein Chicken Collagen Millet Kanji,Omlet,Coconut Sambol,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,582,44,44,29,10
Elite-Non-Veg Plan-Dinner,Week 4,Sat,Ragi Jowar Chapathi,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber Raita,661,42,80,24,17
Basic-Veg Plan-Lunch,Week 1,Mon,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,813,36,58,55,10
Basic-Veg Plan-Lunch,Week 1,Tue,Yuzu Corn Salad,Paneer grilled,,,Maple Togarashi Spiced Nuts,740,32,50,52,8
Basic-Veg Plan-Lunch,Week 1,Wed,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,813,36,58,55,10
Basic-Veg Plan-Lunch,Week 1,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Lunch,Week 1,Fri,Furikake Avocado Toast,Paneer grilled,Cut fruits,,,1004,42,89,60,21
Basic-Veg Plan-Lunch,Week 1,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Lunch,Week 2,Mon,Yuzu Corn Salad,Paneer grilled,,,Crunchy Nut mix,754,33,48,54,8
Basic-Veg Plan-Lunch,Week 2,Tue,Furikake Avocado Toast,Paneer grilled,Cut fruits,,,1004,42,89,60,21
Basic-Veg Plan-Lunch,Week 2,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Lunch,Week 2,Thu,Yuzu Corn Salad,Paneer grilled,,,Maple Togarashi Spiced Nuts,740,32,50,52,8
Basic-Veg Plan-Lunch,Week 2,Fri,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Lunch,Week 2,Sat,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,813,36,58,55,10
Basic-Veg Plan-Lunch,Week 3,Mon,Furikake Avocado Toast,Paneer grilled,Cut fruits,,,1004,42,89,60,21
Basic-Veg Plan-Lunch,Week 3,Tue,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Lunch,Week 3,Wed,Yuzu Corn Salad,Paneer grilled,,,Maple Togarashi Spiced Nuts,740,32,50,52,8
Basic-Veg Plan-Lunch,Week 3,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Lunch,Week 3,Fri,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,813,36,58,55,10
Basic-Veg Plan-Lunch,Week 3,Sat,Furikake Avocado Toast,Paneer grilled,Cut fruits,,,1004,42,89,60,21
Basic-Veg Plan-Lunch,Week 4,Mon,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Lunch,Week 4,Tue,Yuzu Corn Salad,Paneer grilled,,,Maple Togarashi Spiced Nuts,740,32,50,52,8
Basic-Veg Plan-Lunch,Week 4,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Lunch,Week 4,Thu,Furikake Avocado Toast,Paneer grilled,Cut fruits,,,1004,42,89,60,21
Basic-Veg Plan-Lunch,Week 4,Fri,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,,,813,36,58,55,10
Basic-Veg Plan-Lunch,Week 4,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Dinner,Week 1,Mon,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Dinner,Week 1,Tue,Furikake Avocado Toast,Paneer grilled,,Roasted sweet potato,,1066,43,98,62,23
Basic-Veg Plan-Dinner,Week 1,Wed,Yuzu Corn Salad,Paneer grilled,,Steamed Edamame,,704,33,47,48,8
Basic-Veg Plan-Dinner,Week 1,Thu,Mesclun Quinoa Salad,Paneer grilled,,Roasted sweet potato,,875,37,67,58,11
Basic-Veg Plan-Dinner,Week 1,Fri,Yuzu Corn Salad,Paneer grilled,,Steamed Edamame,,704,33,47,48,8
Basic-Veg Plan-Dinner,Week 1,Sat,Furikake Avocado Toast,Steamed Edamame,,Roasted sweet potato,,730,23,92,33,23
Basic-Veg Plan-Dinner,Week 2,Mon,Mesclun Quinoa Salad,Paneer grilled,,Steamed Edamame,,824,39,55,56,10
Basic-Veg Plan-Dinner,Week 2,Tue,Yuzu Corn Salad,Paneer grilled,,Roasted sweet potato,,755,31,59,50,9
Basic-Veg Plan-Dinner,Week 2,Wed,Furikake Avocado Toast,Paneer grilled,,,Maple Togarashi Spiced Nuts,1051,44,88,65,21
Basic-Veg Plan-Dinner,Week 2,Thu,Vegetable millet broth,Paneer grilled,Shirazi salad,,,545,29,36,38,8
Basic-Veg Plan-Dinner,Week 2,Fri,Furikake Avocado Toast,Steamed Edamame,,,Crunchy Nut mix,729,25,80,38,22
Basic-Veg Plan-Dinner,Week 2,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Dinner,Week 3,Mon,Yuzu Corn Salad,Paneer grilled,,Steamed Edamame,,704,33,47,48,8
Basic-Veg Plan-Dinner,Week 3,Tue,Mesclun Quinoa Salad,Paneer grilled,,Roasted sweet potato,,875,37,67,58,11
Basic-Veg Plan-Dinner,Week 3,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Dinner,Week 3,Thu,Vegetable millet broth,Paneer grilled,Shirazi salad,,,545,29,36,38,8
Basic-Veg Plan-Dinner,Week 3,Fri,Furikake Avocado Toast,Paneer grilled,,,Maple Togarashi Spiced Nuts,1051,44,88,65,21
Basic-Veg Plan-Dinner,Week 3,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Dinner,Week 4,Mon,Vegetable millet broth,Paneer grilled,Shirazi salad,,,545,29,36,38,8
Basic-Veg Plan-Dinner,Week 4,Tue,Mesclun Quinoa Salad,Paneer grilled,,Roasted sweet potato,,875,37,67,58,11
Basic-Veg Plan-Dinner,Week 4,Wed,Yuzu Corn Salad,Paneer grilled,,Steamed Edamame,,704,33,47,48,8
Basic-Veg Plan-Dinner,Week 4,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Basic-Veg Plan-Dinner,Week 4,Fri,Furikake Avocado Toast,Steamed Edamame,,Roasted sweet potato,,730,23,92,33,23
Basic-Veg Plan-Dinner,Week 4,Sat,Yuzu Corn Salad,Paneer grilled,,Roasted sweet potato,,755,31,59,50,9
Basic-Non-Veg Plan-Lunch,Week 1,Mon,Pulled Chicken Caesar Salad,,,Roasted sweet potato,,671,45,31,39,6
Basic-Non-Veg Plan-Lunch,Week 1,Tue,Scrambled egg sando on multigrain bread,Herbs Marinated Chicken Breast,Shirazi salad,,Maple Togarashi Spiced Nuts,642,55,41,35,8
Basic-Non-Veg Plan-Lunch,Week 1,Wed,Yuzu Corn Salad,Herbs Marinated Chicken Breast,,Roasted sweet potato,,590,38,54,31,10
Basic-Non-Veg Plan-Lunch,Week 1,Thu,Ragi Jowar Chapathi,Chicken curry,,Mixed Vegetable Thoran,,491,34,58,19,12
Basic-Non-Veg Plan-Lunch,Week 1,Fri,Protein Chicken Collagen Millet Kanji,Omlet,,Mixed Vegetable Thoran,,466,42,36,20,7
Basic-Non-Veg Plan-Lunch,Week 1,Sat,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,,Roasted sweet potato,,519,29,50,29,14
Basic-Non-Veg Plan-Lunch,Week 2,Mon,Pulled Chicken Caesar Salad,,,Roasted sweet potato,,671,45,31,39,6
Basic-Non-Veg Plan-Lunch,Week 2,Tue,Yuzu Corn Salad,Paneer grilled,,Steamed Edamame,,704,33,47,48,8
Basic-Non-Veg Plan-Lunch,Week 2,Wed,Protein Chicken Collagen Millet Kanji,Omlet,,Mixed Vegetable Thoran,,466,42,36,20,7
Basic-Non-Veg Plan-Lunch,Week 2,Thu,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,,Roasted sweet potato,,519,29,50,29,14
Basic-Non-Veg Plan-Lunch,Week 2,Fri,Ragi Jowar Chapathi,Chicken curry,,Mixed Vegetable Thoran,,491,34,58,19,12
Basic-Non-Veg Plan-Lunch,Week 2,Sat,Grilled Chicken and Avocado Sandwich,,,Roasted sweet potato,Maple Togarashi Spiced Nuts,605,38,52,32,11
Basic-Non-Veg Plan-Lunch,Week 3,Mon,Protein Chicken Collagen Millet Kanji,Omlet,,Mixed Vegetable Thoran,,466,42,36,20,7
Basic-Non-Veg Plan-Lunch,Week 3,Tue,Mesclun Quinoa Salad,Paneer grilled,,,Maple Togarashi Spiced Nuts,860,38,57,60,10
